date,open,high,low,close,volume,turnover
20251010,45700,46500,45700,46150,40170,1854313925
20251013,46150,46600,44850,45500,60690,2741581525
20251014,45050,46300,45000,45350,35117,1596516575
20251015,45850,46200,45250,46000,44990,2057029550
20251016,46250,47450,46150,47250,64317,3018505075
20251017,47250,47450,46700,47000,54140,2547890825
20251020,47050,47500,46150,46900,69268,3236162625
20251021,46900,47250,45700,46300,90260,4177951525
20251022,46300,47900,46200,47900,75688,3592090500
20251023,48250,48800,47600,48050,79207,3817788150
20251024,48750,49300,48300,48850,83458,4064929750
20251027,48600,49300,47500,48300,70805,3404529700
20251028,48000,48500,47650,48450,44648,2144195700
20251029,49350,49500,47200,47550,95666,4550509400
20251030,47100,47450,46300,46550,67870,3167393925
20251031,46550,46650,45400,45600,68589,3132687150
20251103,45400,45600,44900,45450,73892,3340048200
20251104,45200,46100,45100,45850,87623,4004944550
20251105,46150,46200,44050,45350,118734,5331737575
20251106,45800,47950,45200,46950,151793,7034240575
20251107,46100,47100,43300,43550,138765,6145021050
20251110,44600,45100,44050,45050,97127,4349541825
20251111,44800,45550,44550,45000,79831,3582166300
20251112,44750,47150,44700,47000,111349,5146648225
20251113,46500,48700,46300,47850,119314,5719888950
20251114,47500,48250,46650,46800,58565,2776200500
20251117,46950,48750,46950,48100,92139,4420730425
20251118,48050,48300,47050,47300,55545,2640197150
20251119,47600,47750,45950,46350,66785,3114615775
20251120,46450,47100,46450,46550,42499,1986458500
20251121,45900,46000,44800,45150,39499,1781820850
20251124,45600,45950,44150,44150,64359,2859715000
20251125,44600,44750,43400,44250,67623,2966928500
20251126,44500,45250,44500,45250,45967,2067161750
20251127,45000,45250,44550,45050,38869,1744061000
20251128,45400,45650,44650,45650,53201,2414169650
20251201,46050,46400,44750,45050,44639,2014896575
20251202,45300,46700,44800,46600,69140,3184837425
20251203,46350,47300,46000,46950,42316,1978638650
20251204,46950,47500,46550,47300,34872,1640772200
20251205,46900,47450,46400,47000,32622,1524080950
20251208,47050,47450,46300,47300,61297,2880250475
20251209,46950,47950,46950,47850,40999,1952071900
20251210,47850,48400,47350,47400,40081,1918304550
20251211,47800,47800,46600,46700,58625,2751820450
20251212,47150,47450,46600,47450,29209,1372871650
20251215,47200,48200,46750,47650,43420,2076313775
20251216,47850,47850,46850,47100,30490,1438732150
20251217,47650,48200,46850,47650,35103,1673010100
20251218,47700,47700,45900,46350,33556,1553582775
20251219,46800,46900,45750,46800,65281,3029944425
20251222,47200,47200,46500,47150,27212,1276282050
20251223,47000,47400,47000,47250,18703,882934600
20251224,47150,47200,46500,46550,24175,1130188500
20251226,46400,46550,45300,45350,32702,1495901450
20251229,44900,45200,44600,45050,28926,1300493600
20251230,44800,45050,44250,44550,25755,1147257125
20260102,44200,44400,42850,42950,55607,2405733425
20260105,43300,43850,43000,43350,40968,1776002725
20260106,43250,43800,42650,42800,48221,2067764575
20260107,42700,43950,42600,42800,54032,2319587725
20260108,42650,42800,41750,41950,60623,2552119675
20260109,42700,42800,42000,42450,47048,1999018675
20260112,42550,43350,42225,43100,42211,1815918975
20260113,43550,43700,42750,43600,29441,1272880075
20260114,44000,44750,43650,44650,51249,2271268900
20260115,44250,45200,44250,45200,43519,1951984050
20260116,45300,46300,44450,44700,57565,2602807100
20260119,44450,45250,43700,44800,55388,2456974225
20260120,44800,45600,44650,44650,45960,2060469200
20260121,44300,44300,43450,44250,47378,2081439125
20260122,44500,45950,44250,45300,74092,3347884800
20260123,45050,46500,45050,46250,80108,3687112150
20260126,46250,46950,45750,46200,57984,2677176125
20260127,46700,48750,46300,48200,120541,5770067525
20260128,48350,49450,48000,48500,71248,3466119775
20260129,48150,48700,46750,48550,72524,3473587075
20260130,47550,48300,46600,47450,87657,4155168450
20260202,46500,47400,45950,46650,75869,3544446850
20260203,47400,48800,46950,48800,77359,3714089125
20260204,49100,51000,48850,50500,141051,7071928775
20260205,49550,49800,47800,48750,120198,5848039950
20260206,47000,47100,44500,45550,198457,8968602400
20260209,46650,47450,46350,47400,83452,3928693725
20260210,47950,48450,47650,48250,46108,2219432325
20260211,48500,48750,47800,47950,52367,2525696700
20260212,48200,49225,47950,49150,63934,3122770550
20260213,48600,49500,48200,48550,68280,3340769675
20260219,49350,49550,48550,49300,71821,3535399675
20260220,49050,50600,48950,50000,92851,4627186025
20260223,50700,50800,49800,50100,52002,2614626300
20260224,50400,51900,49800,51400,79289,4028042575
20260225,51500,52000,50400,51400,79581,4085920050
20260226,52000,52500,50700,50900,68470,3509639750
20260227,50400,51800,49800,51100,84618,4296693000
20260303,51500,52300,48900,49350,148723,7495909725
20260304,47600,48150,41600,41950,155853,6888695325
20260305,44850,45450,43550,44600,73477,3279368750
20260306,44000,45550,43450,45450,63133,2826204750
20260309,51700,52800,47000,48000,487588,24255230450
20260310,47050,48750,46450,48150,101101,4841249350
20260311,48450,53300,48450,51800,231893,11969812375
20260312,52800,53000,50300,52800,133686,6967857350
20260313,53300,53600,51000,51400,126175,6523545800
20260316,51500,52800,50000,51100,201973,10333664950
20260317,50600,52800,50200,51100,101157,5183339950
20260318,51400,54900,51400,54700,174850,9429932600
20260319,55900,56000,52700,54200,94235,5086030600
20260320,56000,56900,52700,52700,95335,5144327350
20260323,52300,53800,50800,51900,101329,5310350700
20260324,53300,53300,49900,50400,64933,3286690950
20260325,51800,51900,50100,50600,82197,4167396550
20260326,50800,52700,50200,51600,78156,4043953950
20260327,53700,54300,49700,51800,150209,7697638950
20260330,49950,51500,47750,49900,98430,4891253225
20260331,48900,49900,48000,48850,59891,2918862425
20260401,50000,50200,48850,50000,64409,3193708200
20260402,49850,50100,46100,46750,133512,6325768900
20260403,47200,48200,47000,47150,40200,1907059075
20260406,47450,48950,47350,47800,59197,2834932800
20260407,47850,49200,47550,48500,43103,2093615925
20260408,49700,50700,49400,50600,73245,3674401000
20260409,50300,51900,50100,51400,67986,3489159600
20260410,51300,51800,49950,51200,55218,2809292550
20260413,51100,51100,49950,50700,41048,2066029450
20260414,50800,51900,50400,51500,47291,2419602300
20260415,52000,53600,51600,53400,125126,6631670100
20260416,53700,54100,52100,54100,57699,3086093250
20260417,54100,54900,53700,54400,64152,3485647450
20260420,54700,55000,53300,54500,47572,2583833800
20260421,54100,54800,53000,53800,59747,3204191500
20260422,53800,55500,53000,55000,89763,4901846500
20260423,55900,56000,53600,55800,105310,5770241250
20260424,60600,64400,59900,61500,391553,24370513900
20260427,64000,64400,61100,62500,144107,9001213050
20260428,61600,66000,61600,64500,196174,12667895700
20260429,71500,71800,68000,71200,406564,28526248000
20260430,71100,71100,68800,69400,155838,10849340350
20260504,69800,70000,66300,66600,160801,10818037700
20260506,67600,67600,64600,64800,169067,11083861550
20260507,66100,67200,63300,64000,100684,6471085500
20260508,63000,64700,61800,62600,70856,4445704200
20260511,63000,63500,61200,61400,73549,4570043450
20260512,61900,62000,57400,58900,164300,9689608650
20260513,58300,59400,57000,57500,87218,5034314200
20260514,57900,58700,57000,58700,67475,3910653150
20260515,59500,59900,54700,55200,132834,7456616950
20260518,54100,55100,51800,54600,81574,4388469750
20260519,55900,56000,52800,54400,65164,3515890600
20260520,54300,54300,50800,51400,76170,3928481200
20260521,52800,53000,51700,52800,66967,3519098850
20260522,55400,55400,53600,54000,53025,2874777550
20260526,55400,56500,53600,54400,59655,3233701100
20260527,54400,54500,52000,52500,88869,4720920250
20260528,52800,53200,50800,52600,83203,4308634750
20260529,52800,53200,51300,52700,66757,3492571150
20260601,52200,52200,49500,49800,110411,5510487475
20260602,48900,49400,48100,48650,118366,5764814650
20260604,49300,50500,48600,49950,66993,3336457175
20260605,50200,50200,47300,48050,49720,2394591850
20260608,46000,46200,44950,45300,57095,2596095400
