date,open,high,low,close,volume,turnover
20251010,3745,3755,3590,3590,3185498,11564219701
20251013,3485,3600,3485,3550,2961626,10544772828
20251014,3560,3760,3555,3730,3489689,12909697190
20251015,3750,3750,3655,3695,2499188,9236753092
20251016,3690,3755,3655,3670,2082273,7681732531
20251017,3700,3725,3670,3690,1434037,5296054127
20251020,3700,3750,3670,3730,1531381,5703640838
20251021,3740,3830,3725,3790,1977478,7484612541
20251022,3825,4015,3775,3990,3719391,14591360641
20251023,3950,3955,3835,3835,2208387,8593252853
20251024,3880,3880,3740,3830,1588552,6044702989
20251027,3845,3925,3830,3855,1574890,6103017177
20251028,3825,3920,3825,3900,1530586,5948256714
20251029,3925,3935,3840,3855,1324868,5115436493
20251030,3905,3985,3830,3835,1557162,6042008626
20251031,3840,3885,3815,3830,1124429,4316518345
20251103,3830,3835,3715,3730,1685215,6307557641
20251104,3705,3740,3665,3725,1949337,7219697204
20251105,3760,3765,3600,3645,2238827,8159324627
20251106,3700,3810,3695,3775,2067929,7770285672
20251107,3760,3825,3715,3800,2002191,7561384418
20251110,3810,3845,3765,3830,1269040,4829235325
20251111,3825,3860,3735,3765,2163558,8165073266
20251112,3755,3805,3735,3800,1194088,4511450798
20251113,3800,3920,3775,3775,2504773,9584996442
20251114,3785,3800,3710,3725,1650143,6196019546
20251117,3725,3750,3650,3710,1774511,6568695346
20251118,3690,3720,3640,3685,1422506,5244293765
20251119,3710,3715,3620,3620,2211187,8078099516
20251120,3640,3825,3630,3800,2207859,8307450850
20251121,3740,3790,3720,3750,1339735,5028243062
20251124,3785,3790,3665,3665,876691,3244506586
20251125,3700,3710,3655,3670,626579,2308551780
20251126,3700,3740,3695,3735,776757,2892479514
20251127,3735,3785,3735,3755,735080,2764439758
20251128,3770,3810,3735,3770,750937,2835763749
20251201,3825,3985,3825,3940,3357861,13209086082
20251202,3965,4390,3960,4380,14262203,61258046526
20251203,4630,4660,4225,4330,10791345,47222693544
20251204,4345,4640,4330,4380,11081982,49678049665
20251205,4400,4420,4245,4280,3773001,16238040586
20251208,4275,4280,4090,4130,3048531,12665230791
20251209,4110,4165,4075,4090,1960178,8073395320
20251210,4050,4080,3970,3995,2238806,8941223889
20251211,4010,4120,3985,4050,2360013,9565408482
20251212,4095,4130,3990,4055,2117078,8571870487
20251215,4005,4085,4000,4030,1307925,5283417881
20251216,4030,4060,3925,3985,2307938,9188708283
20251217,4000,4060,3980,4005,1139085,4561771092
20251218,3950,3960,3900,3905,1560725,6114096780
20251219,3915,3925,3860,3925,2011590,7839423835
20251222,3940,3980,3900,3925,1826543,7169946762
20251223,3950,4005,3900,3935,1605537,6327730226
20251224,3935,3960,3900,3930,1243660,4884211281
20251226,4020,4020,3895,3905,1625750,6406249783
20251229,3865,3910,3790,3865,2439269,9383864592
20251230,3855,3865,3825,3850,980570,3766181313
20260102,3850,3870,3785,3795,1590717,6065633757
20260105,3800,3815,3740,3800,1660934,6272319643
20260106,3815,3865,3800,3825,1525412,5842113430
20260107,3830,3925,3790,3920,2289740,8852349692
20260108,3895,3930,3790,3845,1798945,6953005488
20260109,3860,3900,3845,3880,1420870,5513900164
20260112,3930,3950,3815,3925,2041794,7938802823
20260113,3940,3985,3910,3985,2195794,8670572292
20260114,4000,4055,3900,4055,2866351,11472732114
20260115,4045,4230,4015,4170,3719160,15403027011
20260116,4180,4195,4080,4155,2570116,10627015720
20260119,4110,4205,4000,4185,2691887,11059546181
20260120,4150,4500,4145,4465,7818707,34429681166
20260121,4365,4425,4275,4400,4264826,18576501509
20260122,4455,4630,4375,4475,4292257,19194073010
20260123,4450,4480,4345,4435,3068637,13562175499
20260126,4415,4505,4360,4430,2897432,12829962716
20260127,4420,4530,4415,4515,2410620,10821950075
20260128,4635,4755,4535,4690,5166801,24069126535
20260129,4750,4855,4550,4815,4615065,22013066468
20260130,4840,4845,4590,4700,3484780,16294692886
20260202,4635,4930,4595,4840,4604338,22233913263
20260203,4920,4955,4785,4935,3057871,14891328865
20260204,4900,5140,4900,5030,4016082,20375217171
20260205,5000,5060,4885,4995,2352157,11709130208
20260206,4830,4915,4675,4885,2454223,11803746837
20260209,4985,5090,4875,4990,2840603,14133858515
20260210,4990,5140,4990,5080,2373145,12051356165
20260211,5100,5130,4815,4910,2849724,14099309290
20260212,5020,5180,4960,5120,4760202,24238930520
20260213,5120,5140,5000,5080,2841065,14416671795
20260219,5200,5620,5180,5530,9972241,54541112380
20260220,5600,5610,5300,5350,4657986,25111745610
20260223,5420,5430,5190,5250,3514682,18503477420
20260224,5250,5420,5210,5400,3052112,16300453080
20260225,5400,5490,5220,5350,3775651,20288683445
20260226,5320,5350,5160,5300,2901577,15213120700
20260227,5250,5370,5110,5280,3757724,19683491350
20260303,5780,6600,5600,6200,70782433,435602640475
20260304,6050,6120,4905,5150,23788904,126479223321
20260305,5270,6130,4810,5660,27650566,154155277635
20260306,5650,5820,5090,5250,10800270,57656526670
20260309,5060,5290,4815,5000,7486519,37324491378
20260310,5120,5190,4995,5140,4903735,25043651321
20260311,5150,5250,5000,5060,5296255,27307768025
20260312,5000,5250,5000,5250,3869860,19994967095
20260313,5160,5370,4935,5050,4385068,22537149515
20260316,5050,5460,5050,5100,11561463,60720532920
20260317,5110,5190,5050,5130,4366276,22369947030
20260318,5140,5260,5120,5190,3140824,16282526515
20260319,5190,5230,5010,5050,2660567,13517313380
20260320,5040,5340,5030,5330,4644463,24427404930
20260323,5280,5280,4800,4820,5571762,27575336736
20260324,4970,5150,4955,5040,3616607,18233412754
20260325,5110,5180,5060,5080,1736911,8865796995
20260326,5110,5110,4905,4980,3081028,15355225936
20260327,4810,4930,4755,4900,2403015,11635271483
20260330,4800,4900,4650,4875,1725639,8298797360
20260331,4830,5050,4755,4895,3466526,17148282776
20260401,5000,5080,4910,5060,3014327,15099555262
20260402,5070,5160,4880,4925,3051118,15276178738
20260403,4995,5300,4995,5260,5546503,28992944360
20260406,5280,5300,5130,5260,3465779,18095543925
20260407,5220,5320,5110,5140,2699786,13983026215
20260408,5360,5490,5140,5160,4528253,23918056175
20260409,5180,5220,5040,5200,2287022,11786320155
20260410,5210,5520,5210,5360,7217960,39014327160
20260413,5380,5550,5290,5430,4335195,23525439060
20260414,5450,5500,5180,5290,5069571,26739750115
20260415,5340,5420,5250,5370,3482194,18610050295
20260416,5420,5740,5370,5650,7187932,40210415595
20260417,5650,5650,5400,5470,3137942,17139728520
20260420,5520,5750,5400,5680,5712325,32127274580
20260421,5750,5750,5570,5680,4056402,22918842440
20260422,5630,5730,5380,5730,4376063,24447360940
20260423,5770,5840,5460,5670,4328202,24292543200
20260424,5680,5730,5600,5630,2433962,13731748140
20260427,5650,5660,5480,5560,2438983,13507477005
20260428,5590,5650,5540,5580,2168451,12099972445
20260429,5580,5580,5430,5550,1914311,10530925395
20260430,5500,5670,5480,5540,2869722,15971618940
20260504,5660,5890,5580,5640,4665579,26503650560
20260506,5770,5770,5380,5620,4268365,24028042745
20260507,5670,6170,5650,6030,12671427,76427213485
20260508,5970,6290,5860,5980,4988890,30224472260
20260511,5980,6040,5790,5820,3458946,20300842820
20260512,5830,5930,5600,5810,3635635,21091392695
20260513,5840,6150,5770,6120,6927051,41435106475
20260514,6130,6270,5790,6120,5954136,35844509835
20260515,6120,6360,5950,6030,4684151,28680492695
20260518,6040,6040,5500,5950,3542247,20833259185
20260519,5960,6080,5860,6050,4017947,24037638840
20260520,6100,6100,5670,5780,3249338,18808134950
20260521,5820,6050,5740,5840,2680837,15750233150
20260522,5860,6000,5760,5980,2573486,15230080485
20260526,5990,6140,5920,5940,2117405,12677760180
20260527,6070,6100,5600,5620,3202254,18397703870
