date,open,high,low,close,volume,turnover
20251010,128100,128100,122800,125000,295000,36688699350
20251013,121300,124000,121100,122300,180681,22069415850
20251014,123200,135000,123100,127200,650600,84395602650
20251015,130500,134000,126800,132200,329219,43247814150
20251016,130700,130800,121100,122300,843373,103991897250
20251017,122000,122000,116600,117000,411851,48498432250
20251020,118600,120600,118200,120000,212231,25345517000
20251021,121300,122000,118300,119100,191053,22854750650
20251022,120000,120900,117600,119800,241404,28657262600
20251023,120700,121000,118500,119000,209142,25035921000
20251024,120500,120900,118000,119800,228574,27361854650
20251027,119800,120700,117400,120000,259285,30962095450
20251028,120900,121000,117800,118700,200445,23820022100
20251029,119100,120000,116800,119200,202685,23989161700
20251030,120000,122000,118500,119800,272205,32784490050
20251031,119500,119500,109300,110000,694726,78981400500
20251103,113200,118400,113200,116400,569667,65941269800
20251104,115500,115600,110100,111000,435692,48758052100
20251105,109700,109800,99800,103800,610674,62867905900
20251106,106800,107900,101500,102400,279559,28884088350
20251107,99300,100600,97500,99000,300076,29693557650
20251110,99500,102900,99500,102300,192580,19587900550
20251111,104200,104300,101700,102200,96863,9959922900
20251112,103000,105500,101900,104400,144839,15123323000
20251113,104900,105200,103400,104400,123469,12908374650
20251114,101700,106800,101200,103000,135103,14025866950
20251117,103500,105000,101100,103100,93723,9600403450
20251118,102800,103100,97800,98400,142625,14184514300
20251119,99300,100400,95700,99000,110789,10868476800
20251120,99000,100900,99000,99600,80660,8067846600
20251121,95700,96000,93600,94500,199815,18849137950
20251124,95000,95700,91400,93900,198665,18722545950
20251125,94800,96200,93200,94300,80337,7591168250
20251126,94300,97400,94300,97400,122330,11768022100
20251127,98700,101100,97900,99700,119495,11937984400
20251128,100100,101200,98900,99200,69928,6972096350
20251201,100600,100700,96700,97300,78589,7694402550
20251202,98200,99600,97300,99500,76894,7595318100
20251203,99700,101000,98100,100500,84310,8427336000
20251204,102400,103600,100400,102000,105254,10694792000
20251205,101100,102900,100500,102700,77677,7920819850
20251208,103800,104600,102300,103400,108363,11232433150
20251209,105800,106400,103900,104500,142114,14943426300
20251210,104500,104800,103000,103300,96614,10040594250
20251211,104700,104700,101300,101300,115129,11759984400
20251212,103400,104900,101500,103300,196995,20274751100
20251215,102900,102900,101100,101800,73658,7513286800
20251216,102600,102700,100000,100400,78806,7969189900
20251217,101400,102900,100200,101900,76432,7775303850
20251218,100500,101700,98900,100200,66356,6661444900
20251219,101200,102200,100300,101800,85920,8705541300
20251222,102500,109800,101000,106300,354551,37709867500
20251223,107000,107200,104300,105200,82698,8702954450
20251224,107400,107400,104800,105100,97898,10350816000
20251226,105400,109400,105100,105800,160130,17043706750
20251229,106300,112600,106000,111800,480388,53366907050
20251230,108800,108800,103400,106500,273087,28979010050
20260102,107200,107900,105000,106700,161758,17242015400
20260105,108000,110000,107300,109100,192246,20870214300
20260106,112500,118500,110300,118500,671304,77518806850
20260107,118500,118500,112000,113100,415780,47421133300
20260108,115200,117900,113700,114000,352147,40636498600
20260109,120900,123000,118200,120900,860830,103728921250
20260112,127700,131800,121700,124000,696440,87644779500
20260113,127300,127300,122900,126600,419492,52748607800
20260114,125000,127300,122300,126900,370850,46494884400
20260115,129500,131800,126800,131100,521962,67504615700
20260116,130700,130700,122900,123400,610249,76281307050
20260119,123400,125500,120500,123400,400451,49263876600
20260120,122400,129000,122300,124700,417340,52464738100
20260121,123200,123200,118900,122100,260212,31537644100
20260122,121600,121600,117900,119100,248387,29533374650
20260123,119500,121000,118900,120800,165704,19949242800
20260126,121900,126600,121000,124800,365052,45604486800
20260127,124500,124700,122300,123400,208827,25846572400
20260128,124700,125200,122000,124600,261713,32312088550
20260129,123700,131400,120700,129500,592726,74991213650
20260130,138400,140000,129000,131200,916574,123259245750
20260202,125100,127500,117000,117100,592116,71739577400
20260203,120500,123700,118800,123600,259910,31687423000
20260204,125600,126700,117100,120900,472116,58128065300
20260205,118800,119000,110600,111600,626767,70915521700
20260206,107800,108300,102100,107400,296726,31352644600
20260209,110900,112700,110600,111400,194567,21703906000
20260210,113000,113400,110900,111600,163025,18242289550
20260211,111700,112900,111500,111600,133565,14992357250
20260212,112700,113000,110300,113000,225454,25294897200
20260213,112100,112100,109400,109900,193405,21378617950
20260219,111700,111800,110100,111000,212916,23579817250
20260220,115800,116700,113400,115300,384776,44340739200
20260223,116000,116100,111800,113300,296466,33550904700
20260224,113600,115800,113500,115600,181843,20862092150
20260225,116100,117500,113600,116100,238925,27688519500
20260226,116700,117000,114400,114700,188067,21630387850
20260227,117500,117600,113600,115800,252618,29217942150
20260303,129900,138600,123200,130600,2085493,271363822000
20260304,152200,159200,111400,112100,2482464,324764247600
20260305,115800,122100,109100,118400,1321622,156111047350
20260306,126800,127900,119400,121200,931961,114626568900
20260309,124100,126600,110000,114100,627957,73637312800
20260310,110600,112900,108100,109300,502698,55189548350
20260311,106600,109200,105900,106100,494582,52981712050
20260312,107300,107900,103000,104600,338857,35421633300
20260313,106100,107600,101700,102500,353623,36556879850
20260316,101200,102700,98400,99200,325763,32510801450
20260317,100000,102700,99700,102500,269886,27425423800
20260318,102100,102500,100600,102400,268048,27228695950
20260319,104500,104500,99800,99900,226398,22797709400
20260320,99600,100500,98100,98800,210875,20915619250
20260323,96400,96600,91300,91400,271589,25227089150
20260324,92300,95300,90500,93500,253355,23459479600
20260325,93600,98200,92800,98200,252413,24361456900
20260326,98600,98600,93200,93500,214658,20429189850
20260327,91000,92000,88800,91700,130794,11806268900
20260330,88000,90400,87700,89700,129805,11569645300
20260331,86800,88800,86000,86700,156529,13643590300
20260401,89100,93900,88900,93500,258574,23845275450
20260402,95200,98300,91100,92700,305461,29045761950
20260403,93800,99000,92700,96800,334861,32420315550
20260406,119100,119300,104500,109300,2302095,257196082700
20260407,108200,111500,100300,102100,1516762,160017033450
20260408,100600,103900,100300,103700,478387,48904386000
20260409,104300,105400,101900,102800,301999,31085502700
20260410,99700,101000,97600,99500,354142,35034810650
20260413,100800,101100,97700,99500,194808,19279662950
20260414,99600,101100,99600,100700,205388,20593147000
20260415,100800,100900,99200,100600,211086,21107671700
