date,open,high,low,close,volume,turnover
20251010,76500,76500,74300,75500,263611,19814315450
20251013,74500,76800,74100,76000,170956,12915465550
20251014,76300,76300,73700,74100,182011,13586768850
20251015,74100,75900,74100,75700,87835,6604415150
20251016,75600,76600,74800,75100,129273,9764743250
20251017,75100,75200,74100,74300,105200,7847210500
20251020,75400,76500,74500,76200,145546,11039799150
20251021,77700,77800,76100,77000,162812,12483211900
20251022,76800,77700,76500,77000,117020,9014619150
20251023,77300,78500,76100,76300,143682,11104910900
20251024,76700,76700,75000,75200,138431,10432605800
20251027,75100,75800,74600,74800,148613,11151621500
20251028,75400,78700,75300,77700,323673,25052537900
20251029,78200,78200,75600,76100,223191,16976326800
20251030,76700,77800,75900,76400,220502,16922266650
20251031,76800,77000,75700,77000,141265,10791238950
20251103,77700,78500,75500,75900,157614,12023856500
20251104,75500,75800,74700,75300,158077,11883895500
20251105,75300,75400,72200,74500,180663,13350074950
20251106,75200,75300,72300,72800,201195,14762064300
20251107,70900,77000,70800,72100,390579,28848134000
20251110,70600,70700,64900,66000,645826,42477899450
20251111,66500,66500,62900,63600,699012,44599221400
20251112,63700,65300,63400,64800,244709,15787409300
20251113,64200,65900,63600,65400,213672,13939634450
20251114,64200,66000,63700,64200,185901,12051959350
20251117,64400,65400,64100,65400,151336,9827692700
20251118,64900,65300,63200,63700,178717,11417304550
20251119,64000,65500,63200,64800,162886,10544327050
20251120,65200,67700,65000,66200,292748,19511851450
20251121,66700,67400,65600,67200,185991,12418320750
20251124,67600,67700,65800,66700,161014,10743065050
20251125,67200,67400,64900,65300,151464,9989041300
20251126,66000,66500,65400,65800,112323,7382195050
20251127,66000,66500,65000,65800,133096,8706778150
20251128,66200,66700,65600,66700,73439,4862840700
20251201,67200,67300,65200,65400,100478,6626162050
20251202,65700,65900,65000,65700,105957,6935161750
20251203,65700,65900,65200,65900,73718,4834677650
20251204,65800,66100,64500,65300,102375,6651294800
20251205,64800,65600,64700,65500,62955,4097688000
20251208,65700,66100,65300,65700,104290,6851167450
20251209,66100,66100,65000,65400,73814,4819257800
20251210,65600,65700,64200,64400,110366,7133197400
20251211,64700,64900,63600,63800,169701,10865148050
20251212,64100,64400,63600,64200,68896,4406632150
20251215,63800,63900,62800,63200,98889,6265242100
20251216,63100,65700,62800,65100,284251,18409643550
20251217,65600,66500,64000,64100,127107,8238471050
20251218,63300,63400,62100,62500,113438,7113495500
20251219,63100,63100,62200,62800,102421,6403880750
20251222,63200,63300,62800,63000,75891,4781724350
20251223,63200,63400,62100,62100,112848,7035419650
20251224,62500,62500,61900,62000,64926,4032428150
20251226,62100,62300,61000,61100,102485,6296912050
20251229,60600,62200,60600,62100,84975,5236084500
20251230,61700,63000,61700,62100,88928,5533099950
20260102,63100,65600,63000,65400,271649,17598221250
20260105,66400,66500,64600,65000,197150,12890528150
20260106,65500,66000,63900,64400,150541,9744976850
20260107,64700,64800,62400,63600,204731,12911197850
20260108,64200,64200,62300,63000,232035,14580246350
20260109,63500,63800,61700,63300,169650,10671546200
20260112,63500,64200,62200,63900,150494,9565488385
20260113,64400,64400,62700,63200,134271,8487273350
20260114,63300,65000,63300,64200,213913,13766053850
20260115,64900,65000,63300,64300,139078,8878721200
20260116,64200,64800,63400,63900,117155,7511132400
20260119,64500,65100,63900,64100,161392,10365711750
20260120,64200,65200,63700,64900,192233,12419074050
20260121,63900,65200,63100,64500,194545,12423797800
20260122,64500,67700,64000,66400,421348,27969409600
20260123,67000,67000,65900,66700,179406,11935662500
20260126,67500,68100,66300,66700,218648,14656300700
20260127,67500,68000,66700,67100,171785,11538347150
20260128,68100,68900,67500,68100,287252,19552310150
20260129,68500,69700,67700,69200,321523,22161271350
20260130,69600,70900,68600,69900,339458,23804830150
20260202,69700,69700,66600,67300,255217,17377254650
20260203,68800,69000,66600,69000,190545,12939308250
20260204,68700,70000,68000,68400,186329,12786402800
20260205,68400,71200,68200,68600,254561,17676212700
20260206,68100,69900,66400,69100,202627,13894210900
20260209,70500,73700,70300,72700,450322,32705828400
20260210,73500,73500,71900,72800,170759,12407783350
20260211,73300,74200,72900,73500,170191,12517511850
20260212,72800,72800,70100,72400,244609,17479996500
20260213,71900,75200,71400,72400,267865,19657148700
20260219,73000,73900,71700,73700,199014,14547186150
20260220,73500,73500,71900,72400,157581,11419619850
20260223,73400,73700,71400,71600,143675,10368360800
20260224,71900,72000,70800,71200,175460,12490937450
20260225,71700,72000,70600,71600,223225,15878919100
20260226,73600,77900,73500,75000,723753,55085479350
20260227,75700,77200,75100,76300,349615,26714672350
20260303,74500,75600,72600,72800,285110,21092409750
20260304,69000,70500,64000,64200,382024,25416352900
20260305,68400,70500,66400,69200,291711,20040318350
20260306,68500,70200,67900,70000,157551,10951048450
20260309,66400,66900,64700,66300,108298,7123958200
20260310,69000,70200,67300,70000,150420,10406101700
20260311,70400,71500,69000,69400,144121,10135774450
20260312,69500,71700,68300,71700,166611,11830290950
20260313,69800,72200,69300,71700,139179,9941758850
20260316,70500,70900,69200,69500,104262,7274753300
20260317,70100,71200,70100,70200,57507,4064853750
20260318,70800,71500,70100,70300,111422,7871208400
20260319,69300,70600,69000,69800,113677,7919356700
20260320,70000,77500,69700,76700,593614,44992630000
20260323,73500,79800,73500,76700,692493,54208891900
20260324,79500,79700,76000,78200,260262,20227462150
20260325,79400,80300,78200,79600,286654,22755911200
20260326,79300,79600,76800,77400,162299,12622956050
20260327,75200,81500,74800,80200,484072,38603328100
20260330,78000,80300,76000,76600,207451,16097227900
20260331,75300,79100,73600,76000,322209,24853538600
20260401,78400,79800,77600,78600,207261,16268397350
20260402,78700,80700,74600,76100,267630,20858465650
20260403,77400,77900,75500,76100,121611,9296815950
20260406,76200,77900,74000,75700,180102,13625000650
20260407,76300,78300,74400,74700,181186,13746115300
20260408,77400,78600,75400,76800,155134,11884807050
20260409,77400,80700,77000,78400,396949,31305825500
20260410,79500,80500,77200,78900,195726,15359195300
20260413,77800,82400,77300,81900,340967,27634717050
20260414,83200,83200,79800,80000,242954,19524758250
20260415,81100,83400,80000,82800,254819,21024118150
20260416,83300,84500,81800,84500,198037,16580523100
20260417,84900,89800,84600,86800,378390,33115507450
20260420,87100,87500,85700,87000,148824,12920116950
20260421,87500,88000,85900,86300,152277,13189244600
20260422,86400,89000,86400,87000,190481,16691842150
20260423,89000,89000,86700,88000,203911,17886695050
20260424,90300,91900,89200,91600,281632,25579860200
20260427,93300,93400,90200,91000,183745,16766611200
20260428,90500,92000,88900,89900,230242,20791719600
20260429,91700,93900,89300,89500,286091,26023946100
20260430,90100,90100,86700,88700,325146,28653936850
20260504,90400,91200,88000,88700,164345,14635185900
20260506,87900,88100,86600,86900,187709,16375071100
20260507,87500,87900,86100,86900,148245,12870591200
20260508,88500,95700,86900,93600,671390,61372594300
20260511,97100,106200,97000,99900,698214,71345537400
20260512,99900,102900,97000,100100,429640,42984314500
20260513,100200,100600,94900,97400,263204,25646539200
20260514,96600,101500,96500,100800,324242,32370020300
20260515,102100,102200,95600,97100,227042,22322152350
20260518,95600,95600,90500,92200,209820,19369538250
20260519,93000,96300,89500,91800,212667,19562086100
20260520,92000,92000,85000,89200,230415,20160059500
20260521,91200,91900,86600,89200,319662,28218556100
20260522,92800,94900,91000,91200,128696,11827864100
20260526,93600,94200,89000,89800,188473,17009821550
