date,open,high,low,close,volume,turnover
20251010,215500,218500,214000,217000,79143,17120248000
20251013,214500,217500,212000,213500,69323,14837264500
20251014,214000,215000,207500,207500,113884,23923882750
20251015,209500,209500,204500,206500,81231,16758178000
20251016,211000,215000,207000,210500,133631,28057918000
20251017,211500,211500,200000,202000,123009,24996927750
20251020,204500,204500,197100,202000,125236,25121408000
20251021,204000,210000,203000,205500,93592,19324996500
20251022,205500,208000,202000,206500,47219,9725422500
20251023,204500,207000,203500,203500,63414,12990216250
20251024,206500,210000,203000,203500,80358,16501001750
20251027,204000,214500,204000,213000,117472,24809450500
20251028,216000,224500,213500,217500,177875,39109802750
20251029,221500,224000,215500,221000,108328,23896670250
20251030,220500,227000,218500,221500,107947,24008134000
20251031,222000,227000,220000,220500,76909,17078667250
20251103,224500,232500,223000,224500,122043,27660727000
20251104,223500,226000,219000,220500,114083,25281414750
20251105,221500,222000,209000,214500,121618,25987118500
20251106,219500,222500,213000,216500,82505,17891088000
20251107,219500,225500,217000,221000,111166,24558466250
20251110,226500,232000,223500,227000,142729,32559831750
20251111,232000,240000,228000,229500,181903,42395974500
20251112,236000,244000,232000,242000,239388,57300052500
20251113,242000,244000,233000,233000,189124,44780987250
20251114,228500,237000,225500,231500,144321,33486800250
20251117,236000,236500,218500,227000,161321,36734610500
20251118,225000,226500,214500,224500,230430,50654208750
20251119,210500,211000,187900,191700,871913,168830487250
20251120,192500,192600,182000,187000,544116,101261350850
20251121,180000,193700,176100,191300,524059,96246614300
20251124,198000,212500,197900,202500,583410,119452125450
20251125,205500,211000,199400,208000,224123,46252504150
20251126,211500,227500,209500,213500,382944,83524316250
20251127,216000,218000,210000,213500,134372,28677127750
20251128,214500,216500,207500,210000,125201,26376663750
20251201,204000,206000,199900,203000,130486,26520387750
20251202,203000,210000,202000,209000,99510,20624793500
20251203,208000,216500,207000,216000,130344,27781698000
20251204,213000,216000,208500,215000,125425,26714829000
20251205,213000,214500,208500,212000,86355,18261348750
20251208,210500,211500,199800,202000,206316,41772503550
20251209,201500,204000,199000,203000,138475,27923311500
20251210,203000,203000,199000,200500,117816,23595855250
20251211,201500,202000,192600,193100,286071,55624707850
20251212,194400,197700,194000,195000,103729,20271589300
20251215,191100,198200,191100,197200,117782,23120876750
20251216,197100,198700,192600,196200,130887,25585683350
20251217,198100,198700,194000,197300,70804,13917898750
20251218,196900,199100,192900,197600,114699,22568841200
20251219,198400,198500,193600,194500,111998,21817678450
20251222,195300,199500,195000,198400,74697,14770423900
20251223,198900,202500,198300,199900,68622,13793607650
20251224,202500,210500,200500,209000,153846,31944771500
20251226,208500,212500,203500,204500,108480,22540575500
20251229,202500,205000,198900,201500,87786,17598634700
20251230,200000,203000,198800,201500,55622,11182545400
20260102,209000,219500,207000,216500,214144,46215850750
20260105,222000,222500,210000,214000,175965,38111879000
20260106,215000,220500,213000,215500,110450,23935045500
20260107,218000,224000,212000,214500,109593,23626549250
20260108,212500,231500,212000,227000,251203,56111483500
20260109,228000,228500,219000,223000,122718,27201746500
20260112,225000,228500,220000,223500,116946,26289034750
20260113,226500,248000,226500,246500,384354,92296564000
20260114,245000,258500,243000,247500,213476,53281651750
20260115,253000,253000,232500,244000,193788,47363380750
20260116,240500,241500,231500,236500,201817,47528731250
20260119,235000,242000,232500,235500,119651,28152422750
20260120,237500,241000,232500,234000,111635,26287726000
20260121,226500,229500,220500,222500,207767,46264597000
20260122,223000,234000,221500,228500,151969,34891079250
20260123,231500,232500,225000,227000,100573,23004212250
20260126,226000,232000,225500,230000,130410,29848410250
20260127,231000,242500,231000,233500,177238,41959222500
20260128,235000,235000,229500,232500,111934,25915551000
20260129,233000,239000,228500,236000,172992,40627517500
20260130,235500,241500,233500,234500,136921,32438537750
20260202,228500,229500,216000,220000,196381,43582217500
20260203,225000,226500,210000,213500,255178,54596230750
20260204,212000,217000,211500,214000,116746,25046753000
20260205,212500,215750,209500,210500,105314,22302913000
20260206,209000,218500,203500,216500,170694,36232279500
20260209,216500,216500,201500,203000,461102,93820644750
20260210,205500,209500,201500,203500,216019,44363243250
20260211,213000,220500,211500,213500,318969,68616327500
20260212,215000,215500,210000,215500,197713,42303888250
20260213,212500,217000,211000,212000,104222,22195188500
20260219,217000,228500,215500,227000,197543,43765701500
20260220,226500,235000,224500,232000,145054,33534770750
20260223,231000,233500,228000,229500,88744,20421058250
20260224,229000,231500,227500,230000,90693,20851907000
20260225,231000,237500,229000,237500,133761,31329388000
20260226,239000,250000,228500,231500,208387,49546106250
20260227,234000,236500,225500,231000,137527,31612525750
20260303,226000,230000,218000,219500,144683,32561614500
20260304,214000,217500,194900,195600,205937,42125702400
20260305,208500,209500,199500,204500,139135,28421122050
20260306,200000,218500,200000,214500,151681,32007548500
20260309,202000,215500,199000,213500,152153,31591560450
20260310,218000,227500,217000,219500,139260,30993084250
20260311,224000,225000,207500,210000,142801,30573968500
20260312,210000,214000,207500,212000,143984,30483209000
20260313,208000,230000,207500,228500,217746,48988226500
20260316,230500,236000,225000,226000,99845,22895589250
20260317,226000,227000,219500,224500,112536,25132796000
20260318,228000,230500,224500,230000,83375,19079751250
20260319,222500,224500,217000,221000,100715,22193985750
20260320,223000,233000,223000,228000,93495,21331634250
20260323,220000,226000,212500,214000,73674,16042008000
20260324,221500,222000,213000,217500,41359,8992628500
20260325,223000,235000,222500,227500,137087,31584961750
20260326,229000,232000,223000,225500,94990,21496107500
20260327,220500,230500,220500,230000,99190,22615956750
20260330,222500,226000,219500,222000,65740,14582780000
20260331,220500,231000,220000,224000,126888,28777822250
20260401,229500,231000,223000,229500,103520,23541183250
20260402,229500,230000,211500,213000,145737,31633048500
20260403,214500,217500,211500,211500,42412,9093986000
20260406,214000,216500,211500,213000,39531,8422955500
20260407,213500,217000,209000,210000,43798,9278368250
20260408,218500,220500,215000,218000,63520,13793156000
20260409,217500,235000,217500,234000,226733,52188553000
20260410,231000,246000,231000,240000,204638,49500353500
20260413,236500,243500,234000,239000,81469,19445357250
20260414,240000,252000,240000,248500,190104,47301117250
20260415,251000,254000,244000,247500,123092,30555295500
20260416,254000,272000,253500,266500,269116,71699582750
20260417,268000,273000,261500,262500,85636,22744927250
20260420,274000,275000,265500,267500,117497,31677231000
20260421,269000,270500,257000,260000,157072,41055481000
20260422,259500,279000,259000,275000,202238,55166401000
20260423,281000,282000,266000,271000,103019,27880922250
20260424,273500,275500,265500,270500,90413,24545830000
20260427,267500,267500,260000,261500,127724,33544789500
20260428,262500,273000,262500,267500,118157,31717322250
20260429,273000,293000,272500,277500,290978,82568398500
20260430,277500,280500,270000,270500,88748,24299105500
20260504,274000,277000,265500,267500,127840,34433690000
20260506,263500,267500,260000,261500,100104,26293224250
20260507,263000,263000,249000,253000,103560,26180734250
20260508,256000,266000,252500,255500,100639,25946437750
20260511,254000,258500,249500,251000,72417,18336164500
20260512,253000,253500,241500,250000,111546,27740900000
20260513,271000,275000,235500,263000,371818,93550752000
20260514,272000,291500,271000,279000,317755,89330729500
20260515,276500,282500,268500,271500,122135,33543370500
20260518,267500,267500,258500,258500,94409,24685185750
